Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,data_figure,treatment
SRR10133123,not applicable,AMPLICON,249,15842349,ATCC,PRJNA565979,SAMN12775347,Human,6877657,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861486,Illumina MiSeq,Not applicable,Fig2b_Cterm_15_rep2.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_15_rep2.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_15_rep2.fastq.gz,
SRR10133126,not applicable,AMPLICON,249,20355755,ATCC,PRJNA565979,SAMN12775327,Human,8862374,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861483,Illumina MiSeq,Not applicable,Fig2b_Cterm_8_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_8_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_8_rep3.fastq.gz,
SRR10133129,not applicable,AMPLICON,249,19030485,ATCC,PRJNA565979,SAMN12775342,Human,8257333,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861480,Illumina MiSeq,Not applicable,Fig2b_Cterm_13_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_13_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_13_rep3.fastq.gz,
SRR10133131,not applicable,AMPLICON,249,22421253,ATCC,PRJNA565979,SAMN12775340,Human,9733538,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6861478,Illumina MiSeq,Not applicable,Fig2b_Cterm_13_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_13_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_13_rep1.fastq.gz,
SRR10133132,not applicable,AMPLICON,249,21220271,ATCC,PRJNA565979,SAMN12775339,Human,9234137,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861477,Illumina MiSeq,Not applicable,Fig2b_Cterm_12_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_12_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_12_rep3.fastq.gz,
SRR10133134,not applicable,AMPLICON,249,22258375,ATCC,PRJNA565979,SAMN12775337,Human,9685511,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861475,Illumina MiSeq,Not applicable,Fig2b_Cterm_12_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_12_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_12_rep1.fastq.gz,
SRR10133135,not applicable,AMPLICON,249,20077600,ATCC,PRJNA565979,SAMN12775336,Human,8737471,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861474,Illumina MiSeq,Not applicable,Fig2b_Cterm_11_rep3.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_11_rep3.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_11_rep3.fastq.gz,
SRR10133138,not applicable,AMPLICON,249,20217017,ATCC,PRJNA565979,SAMN12775325,Human,8767992,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6861471,Illumina MiSeq,Not applicable,Fig2b_Cterm_8_rep1.fastq.gz,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,Fig2b_Cterm_8_rep1.fastq.gz,not applicable,SRP222069,not applicable,Fig2b_Cterm_8_rep1.fastq.gz,
SRR10248734,Not applicable,RNA-Seq,149,3745838725,ATCC,PRJNA565979,SAMN12996263,Human,1349787500,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966816,NextSeq 550,Not applicable,edfig8_prnp_nick_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_nick_rep5,Not applicable,SRP222069,Not applicable,,prnp_nick_rep5
SRR10248735,Not applicable,RNA-Seq,149,3620331826,ATCC,PRJNA565979,SAMN12996262,Human,1303390150,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966815,NextSeq 550,Not applicable,edfig8_prnp_nick_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_nick_rep4,Not applicable,SRP222069,Not applicable,,prnp_nick_rep4
SRR10248736,Not applicable,RNA-Seq,149,4032362015,ATCC,PRJNA565979,SAMN12996261,Human,1445198938,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966814,NextSeq 550,Not applicable,edfig8_prnp_nick_rep3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_nick_rep3,Not applicable,SRP222069,Not applicable,,prnp_nick_rep3
SRR10248737,Not applicable,RNA-Seq,149,3845990067,ATCC,PRJNA565979,SAMN12996260,Human,1385633561,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966813,NextSeq 550,Not applicable,edfig8_prnp_nick_rep2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_nick_rep2,Not applicable,SRP222069,Not applicable,,prnp_nick_rep2
SRR10248738,Not applicable,RNA-Seq,149,3512811401,ATCC,PRJNA565979,SAMN12996259,Human,1258730522,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966812,NextSeq 550,Not applicable,edfig8_prnp_nick_rep1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_nick_rep1,Not applicable,SRP222069,Not applicable,,prnp_nick_rep1
SRR10248739,Not applicable,RNA-Seq,149,3913761024,ATCC,PRJNA565979,SAMN12996258,Human,1407784474,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966811,NextSeq 550,Not applicable,edfig8_prnp_drt_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_drt_rep5,Not applicable,SRP222069,Not applicable,,prnp_drt_rep5
SRR10248740,Not applicable,RNA-Seq,149,3737184777,ATCC,PRJNA565979,SAMN12996257,Human,1344810482,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966810,NextSeq 550,Not applicable,edfig8_prnp_drt_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_drt_rep4,Not applicable,SRP222069,Not applicable,,prnp_drt_rep4
SRR10248741,Not applicable,RNA-Seq,147,4738210581,ATCC,PRJNA565979,SAMN12996283,Human,1830881218,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966809,NextSeq 550,Not applicable,edfig8_hexa_pe2_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_pe2_rep5,Not applicable,SRP222069,Not applicable,,hexa_pe2_rep5
SRR10248742,Not applicable,RNA-Seq,147,5631834788,ATCC,PRJNA565979,SAMN12996282,Human,2161490768,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966808,NextSeq 550,Not applicable,edfig8_hexa_pe2_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_pe2_rep4,Not applicable,SRP222069,Not applicable,,hexa_pe2_rep4
SRR10248743,Not applicable,RNA-Seq,147,4838385337,ATCC,PRJNA565979,SAMN12996281,Human,1866675829,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966807,NextSeq 550,Not applicable,edfig8_hexa_pe2_rep3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_pe2_rep3,Not applicable,SRP222069,Not applicable,,hexa_pe2_rep3
SRR10248744,Not applicable,RNA-Seq,146,5085624866,ATCC,PRJNA565979,SAMN12996280,Human,1967685910,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966806,NextSeq 550,Not applicable,edfig8_hexa_pe2_rep2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_pe2_rep2,Not applicable,SRP222069,Not applicable,,hexa_pe2_rep2
SRR10248745,Not applicable,RNA-Seq,146,4961571022,ATCC,PRJNA565979,SAMN12996279,Human,1914350906,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966805,NextSeq 550,Not applicable,edfig8_hexa_pe2_rep1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_pe2_rep1,Not applicable,SRP222069,Not applicable,,hexa_pe2_rep1
SRR10248746,Not applicable,RNA-Seq,149,4456574978,ATCC,PRJNA565979,SAMN12996278,Human,1668025481,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966804,NextSeq 550,Not applicable,edfig8_hexa_nick_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_nick_rep5,Not applicable,SRP222069,Not applicable,,hexa_nick_rep5
SRR10248747,Not applicable,RNA-Seq,149,4382890792,ATCC,PRJNA565979,SAMN12996277,Human,1666433369,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966803,NextSeq 550,Not applicable,edfig8_hexa_nick_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_nick_rep4,Not applicable,SRP222069,Not applicable,,hexa_nick_rep4
SRR10248748,Not applicable,RNA-Seq,149,4655095900,ATCC,PRJNA565979,SAMN12996276,Human,1764881534,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966802,NextSeq 550,Not applicable,edfig8_hexa_nick_rep3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_nick_rep3,Not applicable,SRP222069,Not applicable,,hexa_nick_rep3
SRR10248749,Not applicable,RNA-Seq,149,3727149170,ATCC,PRJNA565979,SAMN12996275,Human,1408594474,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966801,NextSeq 550,Not applicable,edfig8_hexa_nick_rep2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_nick_rep2,Not applicable,SRP222069,Not applicable,,hexa_nick_rep2
SRR10248750,Not applicable,RNA-Seq,149,5048462161,ATCC,PRJNA565979,SAMN12996274,Human,1891202524,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966800,NextSeq 550,Not applicable,edfig8_hexa_nick_rep1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_nick_rep1,Not applicable,SRP222069,Not applicable,,hexa_nick_rep1
SRR10248751,Not applicable,RNA-Seq,149,3966536008,ATCC,PRJNA565979,SAMN12996256,Human,1414889005,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966799,NextSeq 550,Not applicable,edfig8_prnp_drt_rep3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_drt_rep3,Not applicable,SRP222069,Not applicable,,prnp_drt_rep3
SRR10248752,Not applicable,RNA-Seq,149,4914067390,ATCC,PRJNA565979,SAMN12996273,Human,1852032371,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966798,NextSeq 550,Not applicable,edfig8_hexa_drt_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_drt_rep5,Not applicable,SRP222069,Not applicable,,hexa_drt_rep5
SRR10248753,Not applicable,RNA-Seq,149,4911061412,ATCC,PRJNA565979,SAMN12996272,Human,1858182499,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966797,NextSeq 550,Not applicable,edfig8_hexa_drt_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_drt_rep4,Not applicable,SRP222069,Not applicable,,hexa_drt_rep4
SRR10248754,Not applicable,RNA-Seq,149,3813793704,ATCC,PRJNA565979,SAMN12996271,Human,1436449385,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6966796,NextSeq 550,Not applicable,edfig8_hexa_drt_rep3,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_drt_rep3,Not applicable,SRP222069,Not applicable,,hexa_drt_rep3
SRR10248755,Not applicable,RNA-Seq,149,4271431408,ATCC,PRJNA565979,SAMN12996270,Human,1615378321,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966795,NextSeq 550,Not applicable,edfig8_hexa_drt_rep2,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_drt_rep2,Not applicable,SRP222069,Not applicable,,hexa_drt_rep2
SRR10248756,Not applicable,RNA-Seq,149,4131989075,ATCC,PRJNA565979,SAMN12996269,Human,1546011762,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966794,NextSeq 550,Not applicable,edfig8_hexa_drt_rep1,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_hexa_drt_rep1,Not applicable,SRP222069,Not applicable,,hexa_drt_rep1
SRR10248757,Not applicable,RNA-Seq,147,4140970368,ATCC,PRJNA565979,SAMN12996268,Human,1509587216,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966793,NextSeq 550,Not applicable,edfig8_prnp_pe2_rep5,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_pe2_rep5,Not applicable,SRP222069,Not applicable,,prnp_pe2_rep5
SRR10248758,Not applicable,RNA-Seq,147,4616570031,ATCC,PRJNA565979,SAMN12996267,Human,1717883594,HEK293T,BROAD INSTITUTE OF MIT AND HARVARD,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6966792,NextSeq 550,Not applicable,edfig8_prnp_pe2_rep4,PAIRED,Inverse rRNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-23T00:00:00Z,edfig8_prnp_pe2_rep4,Not applicable,SRP222069,Not applicable,,prnp_pe2_rep4
