Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,treatment,BREED,Cell_type,Cultivar,dev_stage,Ecotype,strain
SRR17169832,not applicable,AMPLICON,289,15812087,ATCC,PRJNA770428,SAMN23791799,Human,7495875,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353809,Illumina MiSeq,not applicable,242,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260c_B305c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260c_B305c_r1.fastq.gz,,,,,,
SRR17169834,not applicable,AMPLICON,204,18245934,ATCC,PRJNA770428,SAMN23791582,Human,8126576,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353807,Illumina MiSeq,not applicable,25,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_411_431_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_411_431_r1.fastq.gz,,,,,,
SRR17169836,not applicable,AMPLICON,289,14430015,ATCC,PRJNA770428,SAMN23791796,Human,6830791,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353805,Illumina MiSeq,not applicable,239,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260c_B291b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260c_B291b_r1.fastq.gz,,,,,,
SRR17169838,not applicable,AMPLICON,283,19490730,ATCC,PRJNA770428,SAMN23791794,Human,8650469,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353803,Illumina MiSeq,not applicable,237,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B330c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B330c_r1.fastq.gz,,,,,,
SRR17169839,not applicable,AMPLICON,284,18665037,ATCC,PRJNA770428,SAMN23791793,Human,8333395,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353802,Illumina MiSeq,not applicable,236,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B330b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B330b_r1.fastq.gz,,,,,,
SRR17169841,not applicable,AMPLICON,284,18251445,ATCC,PRJNA770428,SAMN23791791,Human,8134983,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353800,Illumina MiSeq,not applicable,234,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B326c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B326c_r1.fastq.gz,,,,,,
SRR17169843,not applicable,AMPLICON,283,18792865,ATCC,PRJNA770428,SAMN23791789,Human,8408073,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353798,Illumina MiSeq,not applicable,232,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B326a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B326a_r1.fastq.gz,,,,,,
SRR17169845,not applicable,AMPLICON,240,9080429,ATCC,PRJNA770428,SAMN23791581,Human,4420802,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353796,Illumina MiSeq,not applicable,24,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_213_223_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_213_223_r1.fastq.gz,,,,,,
SRR17169847,not applicable,AMPLICON,288,6467207,ATCC,PRJNA770428,SAMN23791786,Human,2965794,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353794,Illumina MiSeq,not applicable,229,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B305a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B305a_r1.fastq.gz,,,,,,
SRR17169849,not applicable,AMPLICON,284,19799230,ATCC,PRJNA770428,SAMN23791646,Human,9015414,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353792,Illumina MiSeq,not applicable,89,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_714_762_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_714_762_r1.fastq.gz,,,,,,
SRR17169850,not applicable,AMPLICON,284,21735080,ATCC,PRJNA770428,SAMN23791645,Human,9910813,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353791,Illumina MiSeq,not applicable,88,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_714_761_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_714_761_r1.fastq.gz,,,,,,
SRR17169852,not applicable,AMPLICON,284,14329006,ATCC,PRJNA770428,SAMN23791643,Human,6533877,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353789,Illumina MiSeq,not applicable,86,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_713_752_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_713_752_r1.fastq.gz,,,,,,
SRR17169854,not applicable,AMPLICON,284,21755885,ATCC,PRJNA770428,SAMN23791641,Human,9850112,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353787,Illumina MiSeq,not applicable,84,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_712_753_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_712_753_r1.fastq.gz,,,,,,
SRR17169856,not applicable,AMPLICON,284,20647231,ATCC,PRJNA770428,SAMN23791639,Human,9402674,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353785,Illumina MiSeq,not applicable,82,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_712_751_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_712_751_r1.fastq.gz,,,,,,
SRR17169858,not applicable,AMPLICON,296,10372244,ATCC,PRJNA770428,SAMN23791566,Human,4795356,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353783,Illumina MiSeq,not applicable,9,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,3f_277c_358b_rep3.fastq.gz,not applicable,SRP340874,Kidney,3f_277c_358b_rep3.fastq.gz,,,,,,
SRR17169860,not applicable,AMPLICON,284,20392947,ATCC,PRJNA770428,SAMN23791636,Human,9290712,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353781,Illumina MiSeq,not applicable,79,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2b_PAH_711_751_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2b_PAH_711_751_r1.fastq.gz,,,,,,
SRR17169862,not applicable,AMPLICON,265,15745503,ATCC,PRJNA770428,SAMN23791634,Human,8025168,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353779,Illumina MiSeq,not applicable,77,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_513_522_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_513_522_r1.fastq.gz,,,,,,
SRR17169863,not applicable,AMPLICON,265,13688489,ATCC,PRJNA770428,SAMN23791633,Human,6819021,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353778,Illumina MiSeq,not applicable,76,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_513_521_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_513_521_r1.fastq.gz,,,,,,
SRR17169865,not applicable,AMPLICON,265,15045339,ATCC,PRJNA770428,SAMN23791631,Human,7661920,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353776,Illumina MiSeq,not applicable,74,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_512_522_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_512_522_r1.fastq.gz,,,,,,
SRR17169867,not applicable,AMPLICON,265,20502833,ATCC,PRJNA770428,SAMN23791629,Human,10146860,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353774,Illumina MiSeq,not applicable,72,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_511_523_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_511_523_r1.fastq.gz,,,,,,
SRR17169869,not applicable,AMPLICON,279,25824486,ATCC,PRJNA770428,SAMN23791565,Human,16222583,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353772,Illumina MiSeq,not applicable,8,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,3f_277c_358b_rep2.fastq.gz,not applicable,SRP340874,Kidney,3f_277c_358b_rep2.fastq.gz,,,,,,
SRR17169873,not applicable,AMPLICON,205,17595365,ATCC,PRJNA770428,SAMN23791624,Human,7802763,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353768,Illumina MiSeq,not applicable,67,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_429_451_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_429_451_r1.fastq.gz,,,,,,
SRR17169874,not applicable,AMPLICON,205,19696249,ATCC,PRJNA770428,SAMN23791623,Human,8832473,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353767,Illumina MiSeq,not applicable,66,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_428_453_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_428_453_r1.fastq.gz,,,,,,
SRR17169876,not applicable,AMPLICON,205,18481474,ATCC,PRJNA770428,SAMN23791621,Human,8229990,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353765,Illumina MiSeq,not applicable,64,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_428_451_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_428_451_r1.fastq.gz,,,,,,
SRR17169878,not applicable,AMPLICON,205,18402809,ATCC,PRJNA770428,SAMN23791619,Human,8170103,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353763,Illumina MiSeq,not applicable,62,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_427_452_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_427_452_r1.fastq.gz,,,,,,
SRR17169880,not applicable,AMPLICON,279,17911833,ATCC,PRJNA770428,SAMN23791564,Human,11788227,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353761,Illumina MiSeq,not applicable,7,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,3f_277c_358b_rep1.fastq.gz,not applicable,SRP340874,Kidney,3f_277c_358b_rep1.fastq.gz,,,,,,
SRR17169882,not applicable,AMPLICON,205,14591842,ATCC,PRJNA770428,SAMN23791616,Human,6580337,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353759,Illumina MiSeq,not applicable,59,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_426_445_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_426_445_r1.fastq.gz,,,,,,
SRR17169884,not applicable,AMPLICON,289,12725271,ATCC,PRJNA770428,SAMN23791785,Human,5632964,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353757,Illumina MiSeq,not applicable,228,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B291c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B291c_r1.fastq.gz,,,,,,
SRR17169886,not applicable,AMPLICON,288,13480899,ATCC,PRJNA770428,SAMN23791783,Human,6000458,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353755,Illumina MiSeq,not applicable,226,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260b_B291a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260b_B291a_r1.fastq.gz,,,,,,
SRR17169888,not applicable,AMPLICON,285,20526760,ATCC,PRJNA770428,SAMN23791781,Human,9038756,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353753,Illumina MiSeq,not applicable,224,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B330b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B330b_r1.fastq.gz,,,,,,
SRR17169889,not applicable,AMPLICON,286,20567730,ATCC,PRJNA770428,SAMN23791780,Human,8902575,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353752,Illumina MiSeq,not applicable,223,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B330a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B330a_r1.fastq.gz,,,,,,
SRR17169890,not applicable,AMPLICON,285,19477483,ATCC,PRJNA770428,SAMN23791779,Human,8569920,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353751,Illumina MiSeq,not applicable,222,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B326c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B326c_r1.fastq.gz,,,,,,
SRR17169892,not applicable,AMPLICON,240,8174880,ATCC,PRJNA770428,SAMN23791580,Human,3942951,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353749,Illumina MiSeq,not applicable,23,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig2a_PAH_213_222_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig2a_PAH_213_222_r1.fastq.gz,,,,,,
SRR17169894,not applicable,AMPLICON,288,17019785,ATCC,PRJNA770428,SAMN23791776,Human,7490677,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353747,Illumina MiSeq,not applicable,219,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B305c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B305c_r1.fastq.gz,,,,,,
SRR17169896,not applicable,AMPLICON,288,19944136,ATCC,PRJNA770428,SAMN23791774,Human,8874342,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353745,Illumina MiSeq,not applicable,217,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B305a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B305a_r1.fastq.gz,,,,,,
SRR17169898,not applicable,AMPLICON,288,19861618,ATCC,PRJNA770428,SAMN23791772,Human,8751867,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353743,Illumina MiSeq,not applicable,215,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A260a_B291b_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A260a_B291b_r1.fastq.gz,,,,,,
SRR17169900,not applicable,AMPLICON,280,20064279,ATCC,PRJNA770428,SAMN23791770,Human,8820398,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353741,Illumina MiSeq,not applicable,213,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A223c_B330c_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A223c_B330c_r1.fastq.gz,,,,,,
SRR17169902,not applicable,AMPLICON,283,22065952,ATCC,PRJNA770428,SAMN23791768,Human,9540476,HEK293T,BROAD INSTITUTE OF HARVARD AND MIT,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13353739,Illumina MiSeq,not applicable,211,SINGLE,PCR,GENOMIC,Homo sapiens,ILLUMINA,2021-12-08T00:00:00Z,ED_Fig3_CCR5_A223c_B330a_r1.fastq.gz,not applicable,SRP340874,Kidney,ED_Fig3_CCR5_A223c_B330a_r1.fastq.gz,,,,,,
