sample_name,group,R1,replicate
FANCF_4GATins_1,FANCF_4GATins,SRR10288100.fastq.gz,1
FANCF_4GATins_2,FANCF_4GATins,SRR10288096.fastq.gz,2
FANCF_4GATins_3,FANCF_4GATins,SRR10288095.fastq.gz,3
FANCF_5-7GGAdel_1,FANCF_5-7GGAdel,SRR10288094.fastq.gz,1
FANCF_5-7GGAdel_2,FANCF_5-7GGAdel,SRR10288093.fastq.gz,2
FANCF_5-7GGAdel_3,FANCF_5-7GGAdel,SRR10288092.fastq.gz,3
FANCF_6Gdel_1,FANCF_6Gdel,SRR10288091.fastq.gz,1
FANCF_6Gdel_2,FANCF_6Gdel,SRR10288090.fastq.gz,2
FANCF_6Gdel_3,FANCF_6Gdel,SRR10288089.fastq.gz,3
HEK3_1-3TGAdel_1,HEK3_1-3TGAdel,SRR10288088.fastq.gz,1
HEK3_1-3TGAdel_2,HEK3_1-3TGAdel,SRR10288087.fastq.gz,2
HEK3_1-3TGAdel_3,HEK3_1-3TGAdel,SRR10288085.fastq.gz,3
HEK3_1Ains_1,HEK3_1Ains,SRR10288084.fastq.gz,1
HEK3_1Ains_2,HEK3_1Ains,SRR10288083.fastq.gz,2
HEK3_1Ains_3,HEK3_1Ains,SRR10288082.fastq.gz,3
HEK3_1CTTins_1,HEK3_1CTTins,SRR10288081.fastq.gz,1
HEK3_1CTTins_2,HEK3_1CTTins,SRR10288080.fastq.gz,2
HEK3_1CTTins_3,HEK3_1CTTins,SRR10288079.fastq.gz,3
HEK3_1Tdel_1,HEK3_1Tdel,SRR10288078.fastq.gz,1
HEK3_1Tdel_2,HEK3_1Tdel,SRR10288077.fastq.gz,2
HEK3_1Tdel_3,HEK3_1Tdel,SRR10288076.fastq.gz,3
RNF2_1GTAins_1,RNF2_1GTAins,SRR10288074.fastq.gz,1
RNF2_1GTAins_2,RNF2_1GTAins,SRR10288073.fastq.gz,2
RNF2_1GTAins_3,RNF2_1GTAins,SRR10288072.fastq.gz,3
RNF2_1Tins_1,RNF2_1Tins,SRR10288071.fastq.gz,1
RNF2_1Tins_2,RNF2_1Tins,SRR10288070.fastq.gz,2
RNF2_1Tins_3,RNF2_1Tins,SRR10288069.fastq.gz,3
RNF2_3-5GAGdel_1,RNF2_3-5GAGdel,SRR10288068.fastq.gz,1
RNF2_3-5GAGdel_2,RNF2_3-5GAGdel,SRR10288067.fastq.gz,2
RNF2_3-5GAGdel_3,RNF2_3-5GAGdel,SRR10288066.fastq.gz,3
RNF2_4Adel_1,RNF2_4Adel,SRR10288065.fastq.gz,1
RNF2_4Adel_2,RNF2_4Adel,SRR10288063.fastq.gz,2
RNF2_4Adel_3,RNF2_4Adel,SRR10288062.fastq.gz,3
RUNX1_1ATGins_1,RUNX1_1ATGins,SRR10288061.fastq.gz,1
RUNX1_1ATGins_2,RUNX1_1ATGins,SRR10288060.fastq.gz,2
RUNX1_1ATGins_3,RUNX1_1ATGins,SRR10288059.fastq.gz,3
RUNX1_1Cins_1,RUNX1_1Cins,SRR10288058.fastq.gz,1
RUNX1_1Cins_2,RUNX1_1Cins,SRR10288057.fastq.gz,2
RUNX1_1Cins_3,RUNX1_1Cins,SRR10288056.fastq.gz,3
RUNX1_2-4GATdel_1,RUNX1_2-4GATdel,SRR10288055.fastq.gz,1
RUNX1_2-4GATdel_2,RUNX1_2-4GATdel,SRR10288054.fastq.gz,2
RUNX1_2-4GATdel_3,RUNX1_2-4GATdel,SRR10288052.fastq.gz,3
RUNX1_2Gdel_1,RUNX1_2Gdel,SRR10288051.fastq.gz,1
RUNX1_2Gdel_2,RUNX1_2Gdel,SRR10288050.fastq.gz,2
RUNX1_2Gdel_3,RUNX1_2Gdel,SRR10288049.fastq.gz,3
VEGFA_2-4GAGdel_1,VEGFA_2-4GAGdel,SRR10288048.fastq.gz,1
VEGFA_2-4GAGdel_2,VEGFA_2-4GAGdel,SRR10288047.fastq.gz,2
VEGFA_2-4GAGdel_3,VEGFA_2-4GAGdel,SRR10288046.fastq.gz,3
VEGFA_2ACAins_1,VEGFA_2ACAins,SRR10288045.fastq.gz,1
VEGFA_2ACAins_2,VEGFA_2ACAins,SRR10288044.fastq.gz,2
VEGFA_2ACAins_3,VEGFA_2ACAins,SRR10288043.fastq.gz,3
VEGFA_3Adel_1,VEGFA_3Adel,SRR10288041.fastq.gz,1
VEGFA_3Adel_2,VEGFA_3Adel,SRR10288040.fastq.gz,2
VEGFA_3Adel_3,VEGFA_3Adel,SRR10288039.fastq.gz,3
VEGFA_4Cins_1,VEGFA_4Cins,SRR10288038.fastq.gz,1
VEGFA_4Cins_2,VEGFA_4Cins,SRR10288037.fastq.gz,2
VEGFA_4Cins_3,VEGFA_4Cins,SRR10288036.fastq.gz,3
